               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.096341,             0.20279,           0.0097002,             0.11611,             0.55481,               0.353,             0.35561,             0.15186,             0.09026,             0.27362,            0.012509,             0.10629,           0.0058744,           0.0058744,           0.0058744
                 104,            0.094361,             0.19758,           0.0086819,             0.11768,             0.54304,             0.34786,             0.34363,             0.15646,            0.090086,             0.27065,             0.01202,             0.10662,           0.0058116,           0.0058116,           0.0058116
                 105,            0.094972,              0.1937,           0.0097017,             0.11648,             0.63519,             0.34942,             0.36139,             0.16123,            0.090039,             0.27074,            0.011414,             0.10673,           0.0057488,           0.0057488,           0.0057488
                 106,            0.093785,             0.18108,           0.0090786,             0.11649,             0.56411,             0.34291,             0.35414,             0.15168,            0.089886,             0.27195,             0.01181,             0.10635,           0.0056862,           0.0056862,           0.0056862
                 107,            0.096314,             0.18795,           0.0094092,             0.11659,             0.61704,              0.3351,             0.35296,              0.1601,            0.091045,             0.27006,             0.01201,             0.10648,           0.0056236,           0.0056236,           0.0056236
                 108,            0.095222,             0.18921,           0.0091338,             0.11642,             0.58462,              0.3544,             0.35264,             0.16606,            0.087503,             0.27217,            0.011997,             0.10602,           0.0055611,           0.0055611,           0.0055611
                 109,            0.096311,             0.20156,           0.0096499,             0.11543,             0.64374,             0.33417,             0.36929,             0.16725,            0.089374,             0.27027,            0.012575,             0.10627,           0.0054987,           0.0054987,           0.0054987
                 110,            0.095189,             0.19182,            0.008706,             0.11508,             0.64483,             0.32479,             0.35541,             0.15902,            0.088239,             0.27253,             0.01201,             0.10587,           0.0054364,           0.0054364,           0.0054364
                 111,            0.095778,             0.20101,           0.0089764,             0.11626,             0.62501,              0.3324,             0.36142,              0.1566,            0.090054,             0.27011,            0.011692,             0.10562,           0.0053743,           0.0053743,           0.0053743
                 112,            0.095567,             0.18143,             0.00949,              0.1167,             0.62331,             0.35325,             0.37178,             0.16171,             0.08993,             0.26851,             0.01164,             0.10554,           0.0053123,           0.0053123,           0.0053123
                 113,            0.095926,             0.19255,           0.0096913,              0.1173,              0.6056,             0.33641,             0.36478,             0.16321,             0.08821,             0.27126,            0.011872,              0.1057,           0.0052505,           0.0052505,           0.0052505
                 114,            0.096619,              0.2024,           0.0095282,             0.11719,             0.59672,             0.35017,             0.35677,             0.16003,            0.088925,             0.27245,            0.012482,              0.1059,           0.0051889,           0.0051889,           0.0051889
                 115,            0.094733,             0.18967,            0.008752,             0.11545,             0.66813,             0.30966,             0.35535,              0.1577,            0.089174,             0.27254,            0.011929,             0.10599,           0.0051274,           0.0051274,           0.0051274
                 116,            0.095167,              0.1882,           0.0092116,             0.11482,              0.5784,             0.35086,             0.36694,             0.16602,            0.089965,             0.27197,            0.012186,             0.10537,           0.0050662,           0.0050662,           0.0050662
                 117,            0.094325,             0.19352,           0.0092798,               0.114,             0.63819,             0.34511,             0.37014,             0.16007,            0.089406,             0.27228,             0.01175,             0.10427,           0.0050052,           0.0050052,           0.0050052
                 118,            0.095975,             0.21733,           0.0087703,             0.11682,             0.65542,              0.3406,             0.36508,             0.16504,            0.088215,             0.27177,            0.011541,             0.10397,           0.0049445,           0.0049445,           0.0049445
                 119,            0.094203,              0.1947,           0.0087901,             0.11479,             0.59974,             0.35435,             0.36601,             0.16177,            0.089373,             0.26923,            0.011546,             0.10446,            0.004884,            0.004884,            0.004884
                 120,            0.094039,              0.1868,           0.0085974,             0.11404,             0.56253,             0.35982,             0.35901,             0.15061,            0.090665,             0.27073,            0.012281,             0.10481,           0.0048238,           0.0048238,           0.0048238
                 121,            0.094241,             0.17437,           0.0090126,             0.11656,             0.61676,             0.35388,             0.37734,             0.17028,            0.088548,             0.27372,            0.011764,             0.10482,           0.0047639,           0.0047639,           0.0047639
                 122,            0.093777,             0.18282,           0.0087717,             0.11688,             0.55498,             0.36984,             0.37612,             0.16999,            0.088311,             0.27281,            0.011864,             0.10456,           0.0047043,           0.0047043,           0.0047043
                 123,            0.093662,             0.19076,           0.0089675,             0.11535,             0.38654,             0.38995,             0.36904,             0.16447,            0.087768,             0.27202,            0.011566,             0.10442,            0.004645,            0.004645,            0.004645
                 124,            0.093394,             0.19134,           0.0087713,              0.1137,             0.47386,             0.36632,             0.34809,             0.14961,            0.090342,             0.27221,            0.011597,             0.10474,           0.0045861,           0.0045861,           0.0045861
                 125,             0.09317,             0.18197,           0.0085674,             0.11428,             0.59098,             0.34446,             0.35675,             0.16794,            0.087882,             0.27203,            0.011245,             0.10442,           0.0045275,           0.0045275,           0.0045275
                 126,            0.092358,             0.18468,           0.0085904,             0.11407,             0.63742,             0.34175,             0.36057,             0.14587,            0.090424,             0.27348,            0.011178,             0.10413,           0.0044693,           0.0044693,           0.0044693
                 127,            0.092705,             0.18437,           0.0087248,             0.11359,             0.60071,             0.34095,             0.34938,             0.15856,            0.088844,             0.27538,            0.011493,              0.1044,           0.0044114,           0.0044114,           0.0044114
                 128,            0.093751,             0.18615,           0.0086968,             0.11509,             0.65437,             0.31948,             0.35046,             0.16646,            0.088572,             0.27473,            0.011411,             0.10423,           0.0043539,           0.0043539,           0.0043539
                 129,            0.092609,             0.18661,           0.0083343,             0.11491,              0.6539,              0.3246,             0.37296,             0.17395,            0.088097,              0.2722,            0.011684,             0.10431,           0.0042969,           0.0042969,           0.0042969
                 130,            0.093095,             0.19114,           0.0087033,             0.11373,              0.5731,             0.34548,             0.36016,             0.17178,            0.088525,             0.27128,            0.011643,              0.1033,           0.0042402,           0.0042402,           0.0042402
                 131,            0.093484,             0.19104,           0.0081417,             0.11293,             0.59081,              0.3408,              0.3753,             0.17655,            0.086787,             0.27363,            0.012389,             0.10344,            0.004184,            0.004184,            0.004184
                 132,            0.094887,             0.19559,           0.0088164,             0.11405,             0.59199,             0.33513,             0.37013,             0.16888,            0.088441,             0.27439,            0.011637,              0.1039,           0.0041283,           0.0041283,           0.0041283
                 133,             0.09208,             0.17763,           0.0088138,             0.11378,             0.52255,             0.34832,             0.36531,             0.17982,            0.087322,             0.27283,            0.011689,             0.10334,            0.004073,            0.004073,            0.004073
                 134,            0.092756,             0.20143,            0.008141,             0.11254,             0.55803,             0.34051,              0.3631,              0.1618,            0.089458,              0.2755,            0.011596,             0.10354,           0.0040182,           0.0040182,           0.0040182
                 135,            0.093758,             0.18651,           0.0083399,              0.1131,             0.59038,             0.37145,             0.38377,             0.17434,            0.087529,             0.26952,            0.011429,             0.10275,           0.0039638,           0.0039638,           0.0039638
                 136,              0.0917,              0.1768,           0.0085305,             0.11215,             0.54706,              0.3688,             0.38186,             0.16858,            0.088442,             0.27259,            0.011697,             0.10318,             0.00391,             0.00391,             0.00391
